"predef_unique","Freq"
"tomentosus",3
"opuntiae",4
"tomentosus",3
"tomentosus",3
"tomentosus",2
"confusus",2
"tomentosus",4
"opuntiae",2
"tomentosus",2
"confusus",2
"tomentosus",2
"tomentosus",2
"tomentosus",2
