"predef_unique","Freq"
"tomentosus",3
"confusus",2
"opuntiae",3
"tomentosus",4
"confusus",2
"tomentosus",4
"confusus",2
"opuntiae",2
"tomentosus",4
"tomentosus",4
"confusus",2
"tomentosus",3
"confusus",2
"tomentosus",4
"ceylonicus",2
"tomentosus",4
"ceylonicus",2
"confusus",2
"opuntiae",2
"tomentosus",4
"tomentosus",4
