"filename","clusters","entities"
"resampled_1.nex",7,9
"resampled_2.nex",11,13
"resampled_3.nex",9,10
"resampled_4.nex",10,12
"resampled_5.nex",7,9
"resampled_6.nex",7,9
"resampled_7.nex",8,9
"resampled_8.nex",9,9
"resampled_9.nex",11,11
"resampled_10.nex",8,9
