"filename","clusters","entities"
"resampled_1.trees.nex",9,10
"resampled_2.trees.nex",11,12
"resampled_3.trees.nex",11,12
"resampled_4.trees.nex",10,11
"resampled_5.trees.nex",9,10
"resampled_6.trees.nex",10,10
"resampled_7.trees.nex",9,10
"resampled_8.trees.nex",10,10
"resampled_9.trees.nex",10,10
"resampled_10.trees.nex",11,12
