"filename","clusters","entities"
"resampled_1.nex",5,7
"resampled_2.nex",4,8
"resampled_3.nex",10,15
"resampled_4.nex",6,7
"resampled_5.nex",6,8
"resampled_6.nex",7,8
"resampled_7.nex",6,9
"resampled_8.nex",5,8
"resampled_9.nex",5,6
"resampled_10.nex",4,7
