"filename","clusters","entities"
"resampled_1.nex",90,170
"resampled_2.nex",85,165
"resampled_3.nex",90,168
"resampled_4.nex",89,163
"resampled_5.nex",86,165
"resampled_6.nex",84,166
"resampled_7.nex",82,173
"resampled_8.nex",89,153
"resampled_9.nex",90,158
"resampled_10.nex",82,168
