"filename","clusters","entities"
"resampled_1.trees.nex",37,116
"resampled_2.trees.nex",47,112
"resampled_3.trees.nex",39,113
"resampled_4.trees.nex",45,120
"resampled_5.trees.nex",43,111
"resampled_6.trees.nex",41,112
"resampled_7.trees.nex",42,114
"resampled_8.trees.nex",44,114
"resampled_9.trees.nex",45,108
"resampled_10.trees.nex",38,116
