,25,50,75,100
resampled_1.nex,1,1.4,1.8,2.2
resampled_2.nex,1,2.2,2.2,2.2
resampled_3.nex,2,1.8,2.2,2
resampled_4.nex,1.5,2,2,2
resampled_5.nex,1.2,1.4,1.8,2
resampled_6.nex,1.75,1.4,2,2.2
resampled_7.nex,1.2,1.6,1.8,2
resampled_8.nex,1.25,1.8,2,2.2
resampled_9.nex,1.25,2.2,2,2
resampled_10.nex,1,1.6,2.2,2
