,25,50,75,100
resampled_1.nex,28.57,22.22,10,8.33
resampled_2.nex,50,15.38,8.33,8.33
resampled_3.nex,33.33,10,8.33,0
resampled_4.nex,14.29,16.67,9.09,0
resampled_5.nex,25,22.22,10,0
resampled_6.nex,12.5,22.22,0,8.33
resampled_7.nex,33.33,11.11,10,0
resampled_8.nex,37.5,0,0,8.33
resampled_9.nex,16.67,0,0,0
resampled_10.nex,42.86,11.11,8.33,0
