,25,50,75,100
resampled_1.nex,100,100,100,100
resampled_2.nex,100,100,100,100
resampled_3.nex,100,100,100,100
resampled_4.nex,100,100,100,100
resampled_5.nex,100,100,100,100
resampled_6.nex,100,100,100,100
resampled_7.nex,100,100,100,100
resampled_8.nex,100,100,100,100
resampled_9.nex,100,100,100,100
resampled_10.nex,100,100,100,100
