,25,50,75,100
resampled_1.nex,1.4,1.8,2,2.4
resampled_2.nex,2,2.6,2.4,2.4
resampled_3.nex,3,2,2.4,2
resampled_4.nex,1.75,2.4,2.2,2
resampled_5.nex,1.6,1.8,2,2
resampled_6.nex,2,1.8,2,2.4
resampled_7.nex,1.8,1.8,2,2
resampled_8.nex,2,1.8,2,2.4
resampled_9.nex,1.5,2.2,2,2
resampled_10.nex,1.75,1.8,2.4,2
