,15,20,30,40,50,60,70,80,90,100
iteration1.tre,50,61.54,52.63,52.94,50,33.33,47.83,56.25,42.31,36.67
iteration2.tre,50,52.94,41.67,50,38.1,47.62,45,41.67,37.04,34.29
iteration3.tre,64.29,64.29,57.14,52.17,38.1,39.29,38.89,50,40,34.38
iteration4.tre,50,66.67,60,42.86,50,50,45.83,51.52,32.14,34.29
iteration5.tre,68.75,58.82,52.63,54.17,50,50,50,33.33,38.1,48.57
iteration6.tre,64.29,46.15,52.63,46.67,57.89,33.33,41.67,44.44,36.84,34.29
iteration7.tre,50,54.55,59.09,44.44,55.56,40,45.45,42.86,37.04,34.38
iteration8.tre,28.57,53.33,43.75,59.09,55,51.85,42.31,34.78,31.82,34.38
iteration9.tre,50,50,64.29,61.9,41.18,46.43,48.15,43.48,32.26,45.71
iteration10.tre,63.64,47.06,45.45,43.48,60,48.28,47.37,52.5,39.29,40.74
iteration11.tre,50,50,54.55,47.06,54.55,47.37,46.88,32,38.46,35.29
iteration12.tre,60,57.14,50,57.89,50,47.83,43.48,34.62,35.29,35.29
iteration13.tre,54.55,60,47.37,50,45,46.43,47.83,48.39,34.38,36.67
iteration14.tre,78.57,22.22,55.56,63.64,56,45,42.31,33.33,34.62,34.38
iteration15.tre,77.78,63.64,76.47,50,44.83,45,47.83,46.15,42.86,37.93
iteration16.tre,66.67,87.5,50,65,50,40,50,47.83,37.04,40.74
iteration17.tre,69.23,58.82,57.14,47.06,40,45,50,39.29,44.12,41.67
iteration18.tre,53.85,60,40.91,52.38,52.17,56.52,48.28,48.15,46.15,40.74
iteration19.tre,54.55,42.86,53.33,22.22,42.86,45.83,42.86,50,38.71,37.93
iteration20.tre,44.44,52.63,47.62,52.63,50,45.83,37.5,35.71,33.33,34.38
iteration21.tre,58.33,64.29,60,47.37,45.83,45.16,33.33,32,41.94,37.93
iteration22.tre,33.33,68.75,42.86,40.91,44.44,54.55,48,45.45,40.91,34.29
iteration23.tre,63.64,44.44,56.25,45.45,47.83,50,45.45,41.67,50,40.74
iteration24.tre,63.64,46.67,18.18,57.89,52,50,42.86,39.13,45.83,34.29
iteration25.tre,57.14,50,56.25,52.63,56,45.83,40.91,47.83,47.83,38.71
iteration26.tre,75,53.33,73.33,60,43.48,46.15,52.38,34.62,37.5,35.29
iteration27.tre,44.44,55.56,62.5,57.69,56,45.83,43.33,52.17,44.44,48.57
iteration28.tre,40,47.06,55.56,64.71,57.14,48.28,44,40,38.46,40.74
iteration29.tre,66.67,58.82,55,58.82,54.55,40,40.91,44.44,42.11,37.93
iteration30.tre,64.29,53.85,45.45,50,50,52.94,50,44,40,34.29
iteration31.tre,61.54,50,50,52.38,52,39.13,36.84,48.39,42.31,34.38
iteration32.tre,58.33,62.5,50,56.52,56.25,40,52.17,41.67,51.28,34.38
iteration33.tre,66.67,63.16,43.75,55,45.45,47.37,44.44,48.28,40,34.29
iteration34.tre,53.85,56.25,52.17,56.25,44,35.71,47.62,51.72,37.93,36.67
iteration35.tre,54.55,40,53.33,65,46.15,48.72,35.71,44.83,45.83,34.38
iteration36.tre,60,66.67,50,55.56,55,35.71,50,48.15,43.75,40.74
iteration37.tre,66.67,53.33,57.14,41.18,47.62,44.44,46.43,45,39.13,40.74
iteration38.tre,58.33,52.63,55,37.5,53.85,42.86,50,50,42.31,35.71
iteration39.tre,50,50,50,37.5,57.89,45.83,40,54.17,33.33,37.93
iteration40.tre,50,62.5,50,48,40,52.17,44.12,42.31,40.74,35.29
iteration41.tre,53.85,53.85,53.33,50,50,47.62,50,33.33,33.33,37.93
iteration42.tre,60,58.82,50,52.17,48.28,52.94,41.38,41.67,39.13,36.67
iteration43.tre,75,55.56,45.45,60,55.56,40.74,47.37,37.5,43.33,45.71
iteration44.tre,61.54,50,44,57.14,54.55,47.62,56,51.61,39.29,34.29
iteration45.tre,61.54,46.67,53.33,56.25,42.31,52.17,46.67,52.17,50,34.29
