,15,20,30,40,50,60,70,80,90,100
iteration1.tre,100,100,100,100,94.44,83.33,100,93.75,100,96.67
iteration2.tre,100,100,91.67,100,100,100,100,95.83,100,100
iteration3.tre,100,100,100,100,100,100,100,100,100,100
iteration4.tre,100,100,100,95.24,100,100,100,100,96.43,100
iteration5.tre,100,100,100,100,100,96.15,100,100,95.24,100
iteration6.tre,100,100,94.74,100,94.74,100,100,100,94.74,100
iteration7.tre,100,100,100,100,100,93.33,95.45,95.24,100,100
iteration8.tre,100,100,93.75,100,100,100,100,95.65,95.45,100
iteration9.tre,100,100,100,95.24,94.12,100,100,95.65,96.77,97.14
iteration10.tre,100,100,100,100,100,100,100,100,96.43,96.3
iteration11.tre,100,100,100,100,100,94.74,100,96,96.15,100
iteration12.tre,100,100,95,100,95,100,95.65,100,100,100
iteration13.tre,100,100,100,94.44,95,100,100,100,100,96.67
iteration14.tre,100,100,100,100,100,100,96.15,96.3,96.15,100
iteration15.tre,100,100,100,100,100,95,95.65,92.31,92.86,100
iteration16.tre,100,100,93.75,100,95.83,100,100,100,96.3,96.3
iteration17.tre,100,100,100,94.12,95,100,100,100,100,100
iteration18.tre,100,100,95.45,100,100,95.65,100,100,100,96.3
iteration19.tre,100,100,93.33,88.89,100,100,100,100,100,100
iteration20.tre,100,100,100,100,95,100,100,100,95.24,100
iteration21.tre,100,100,100,100,100,100,100,96,100,96.55
iteration22.tre,100,100,92.86,100,100,100,100,95.45,100,100
iteration23.tre,100,100,100,100,100,100,95.45,100,96.88,96.3
iteration24.tre,100,100,100,100,100,96.15,95.24,100,95.83,100
iteration25.tre,100,100,93.75,100,100,95.83,100,100,95.65,100
iteration26.tre,100,100,93.33,100,95.65,100,100,96.15,93.75,100
iteration27.tre,100,100,100,100,100,95.83,100,95.65,100,100
iteration28.tre,100,100,100,100,100,96.55,100,100,100,96.3
iteration29.tre,100,100,95,100,95.45,100,95.45,100,94.74,96.55
iteration30.tre,100,100,95.45,100,95,94.12,100,96,96.67,100
iteration31.tre,100,100,100,100,100,100,94.74,100,100,100
iteration32.tre,100,100,91.67,100,93.75,100,100,91.67,100,100
iteration33.tre,100,100,100,100,100,100,94.44,100,96,100
iteration34.tre,100,100,100,100,100,100,95.24,100,96.55,96.67
iteration35.tre,100,90,93.33,100,96.15,100,96.43,100,95.83,100
iteration36.tre,100,100,100,100,100,92.86,94.44,100,93.75,96.3
iteration37.tre,100,93.33,100,94.12,95.24,94.44,100,95,95.65,96.3
iteration38.tre,100,100,100,93.75,100,100,96.43,96.43,100,100
iteration39.tre,100,100,94.44,93.75,100,100,100,100,100,100
iteration40.tre,90,100,100,100,95,100,100,100,96.3,100
iteration41.tre,100,100,100,100,100,100,100,96.67,95.83,96.55
iteration42.tre,100,100,100,100,100,100,100,95.83,95.65,100
iteration43.tre,100,100,100,100,88.89,100,94.74,100,100,97.14
iteration44.tre,100,100,96,100,100,95.24,100,100,96.43,100
iteration45.tre,100,100,100,93.75,100,100,100,95.65,92.86,100
iteration46.tre,100,100,100,93.33,100,100,100,100,100,100
iteration47.tre,100,100,100,94.44,100,100,100,93.75,96.15,100
iteration48.tre,100,100,100,100,100,100,96,95.65,95.65,100
iteration49.tre,100,100,100,100,94.74,100,95.45,100,100,96.55
iteration50.tre,100,100,100,95,100,95.83,100,100,100,100
iteration51.tre,100,100,100,100,100,100,100,100,95.24,96.3
iteration52.tre,100,100,100,100,100,100,100,100,95.45,100
iteration53.tre,100,100,95,94.44,100,100,100,100,92.86,96.3
iteration54.tre,100,100,100,93.75,95.65,100,100,100,95,100
iteration55.tre,100,100,94.44,100,94.74,100,94.74,100,100,100
iteration56.tre,100,100,100,100,100,94.74,100,95.83,100,97.14
iteration57.tre,100,100,100,100,100,91.67,95.45,100,100,96.55
iteration58.tre,90.91,100,100,100,100,95.24,100,100,100,96.3
iteration59.tre,100,100,100,100,100,95.65,95.45,100,95.45,100
iteration60.tre,100,100,100,100,100,100,100,100,100,100
iteration61.tre,100,100,100,100,95.24,94.12,100,96,96,100
iteration62.tre,100,93.75,100,94.12,100,100,100,100,94.12,100
iteration63.tre,100,100,100,100,100,100,100,100,95.45,100
iteration64.tre,100,100,100,93.75,100,100,100,100,100,100
iteration65.tre,90,100,100,100,95.83,94.12,100,100,96.88,97.14
iteration66.tre,100,90,93.33,100,100,100,95.65,92.31,100,100
iteration67.tre,92.31,100,100,95,100,100,96.43,96.55,94.74,100
iteration68.tre,100,100,100,100,100,100,100,96.67,94.44,100
iteration69.tre,91.67,100,100,94.44,100,95.65,96,100,92.86,100
iteration70.tre,100,100,100,100,95.24,100,100,96.77,96.55,96.55
iteration71.tre,100,100,100,100,96.67,100,96.15,96.3,100,100
iteration72.tre,100,100,100,100,94.44,100,100,100,95.24,100
iteration73.tre,100,100,100,100,96,95,95.45,95.65,96.55,100
iteration74.tre,100,100,93.75,100,100,100,100,96,95.83,100
iteration75.tre,100,100,100,94.74,100,95.24,95.45,100,96.3,100
iteration76.tre,92.31,100,100,95.83,100,100,100,94.12,95.83,100
iteration77.tre,100,100,100,100,95.45,100,96.55,100,95.83,100
iteration78.tre,100,100,100,100,100,100,100,100,100,100
iteration79.tre,100,100,100,100,100,100,100,100,95.45,100
iteration80.tre,100,100,100,100,100,96.3,100,100,100,97.14
iteration81.tre,100,94.12,100,100,100,100,100,100,96.3,100
iteration82.tre,100,100,94.12,100,100,100,96.55,100,100,100
iteration83.tre,100,100,100,100,100,100,96,95.83,95.83,96.67
iteration84.tre,100,100,100,96.15,100,100,100,95.24,100,96.3
iteration85.tre,100,100,95.24,100,100,100,96.43,100,100,100
iteration86.tre,100,100,92.86,92.31,100,100,95.65,93.75,93.75,100
iteration87.tre,100,100,93.33,100,93.33,100,95.83,100,96.43,100
iteration88.tre,100,100,100,100,94.74,100,100,95.65,92.31,100
iteration89.tre,83.33,100,100,100,100,92.86,100,100,95.65,100
iteration90.tre,100,100,100,100,95,100,100,96,100,100
iteration91.tre,100,100,100,100,100,100,100,100,100,100
