"predefined_group","mean","sd","min","max"
"confusus",2.62637362637363,0.693595329478566,2,4
"opuntiae",4.36,1.30670377189122,2,9
"tomentosus",4.19791666666667,1.39638474314108,2,6
"austrinus",2.17105263157895,0.37905700168486,2,3
"ceylonicus",2,0,2,2
