"predefined_group","mean","sd","min","max"
"austrinus",2.85263157894737,0.582883898746305,2,4
"ceylonicus",2,0,2,2
"confusus",4.96938775510204,0.564482823835427,3,6
"opuntiae",15.3265306122449,1.6294677532394,12,18
"tomentosus",7.25510204081633,0.955841772802888,6,10
