"predefined_group","mean","sd","min","max"
"austrinus",2.65853658536585,0.670719388898954,2,4
"ceylonicus",2,0,2,2
"confusus",4.96341463414634,0.188896859388666,4,5
"opuntiae",14.5180722891566,1.81700266307933,7,18
"tomentosus",6.98780487804878,0.8533724302245,5,9
